UserID,Split,City,State,DegreeType,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
13,Test,Philadelphia,PA,4.0,6,5.0,1,0,0
64,Train,Columbus,OH,5.0,3,22.0,1,0,0
101,Train,Brick,NJ,1.0,1,2.0,0,1,4
133,Train,Wilmington,DE,4.0,6,9.0,1,1,6
182,Train,Lenexa,KS,1.0,3,5.0,1,1,10
350,Train,Atlanta,GA,1.0,2,8.0,1,0,0
379,Train,San Diego,CA,4.0,9,25.0,1,1,75
580,Train,Alexandria,VA,1.0,2,2.0,0,0,0
732,Train,Ridgeland,MS,5.0,5,10.0,1,1,7
774,Train,Huntsville,AL,4.0,4,9.0,0,0,0
794,Train,Orlando,FL,,4,26.0,1,0,0
907,Train,Van Nuys,CA,4.0,7,9.0,1,0,0
944,Train,Cypress,TX,3.0,2,10.0,0,1,15
956,Train,Geneseo,NY,5.0,8,3.0,1,0,0
1037,Train,Euless,TX,1.0,2,11.0,1,0,0
1066,Test,Westland,MI,1.0,2,6.0,1,0,0
1075,Train,Raleigh,NC,3.0,5,14.0,0,0,0
1085,Train,Garner,NC,1.0,8,18.0,1,0,0
1107,Train,Arlington,TX,1.0,5,3.0,1,0,0
1130,Train,Salt Lake City,UT,1.0,3,5.0,0,0,0
1139,Train,Mechanicsville,VA,1.0,4,7.0,1,0,0
1141,Train,Jacksonville Beach,FL,4.0,7,30.0,1,0,0
1283,Train,Boca Raton,FL,4.0,6,12.0,1,0,0
1414,Train,Knoxville,TN,4.0,2,1.0,1,0,0
1425,Train,Orlando,FL,,3,4.0,0,1,4
1430,Train,Lowell,MA,4.0,3,8.0,1,0,0
1533,Train,Hacienda Heights,CA,1.0,6,28.0,1,0,0
1574,Train,Lexington,KY,1.0,6,15.0,1,1,6
1648,Train,Camarillo,CA,1.0,5,14.0,0,0,0
1675,Train,Las Vegas,NV,,5,19.0,1,0,0
1708,Train,Galveston,TX,3.0,8,18.0,1,0,0
1759,Train,Mason,MI,,3,13.0,0,0,0
1832,Train,Laurel,MD,4.0,3,8.0,1,0,0
1921,Train,Glendale,AZ,,1,1.0,1,0,0
1940,Train,Bellingham,MA,4.0,5,6.0,1,0,0
2089,Train,Bordentown,NJ,,4,8.0,0,0,0
2187,Train,Colorado Springs,CO,2.0,6,26.0,1,1,76
2195,Train,Bronx,NY,4.0,2,3.0,0,0,0
2287,Train,Nazareth,PA,1.0,2,9.0,1,1,15
2364,Train,Elk Grove,CA,4.0,7,13.0,0,0,0
2448,Train,Arlington,TX,1.0,5,19.0,1,1,50
2626,Train,Arcadia,FL,1.0,1,11.0,0,0,0
2822,Train,East Windsor,NJ,1.0,4,11.0,1,0,0
3096,Train,Dallas,TX,1.0,3,27.0,0,1,8
3109,Train,New York,NY,4.0,5,12.0,1,0,0
3156,Train,Detroit,MI,4.0,4,6.0,0,0,0
3247,Train,Miami,FL,4.0,3,2.0,0,0,0
3446,Train,Rincon,GA,,8,10.0,0,0,0
3480,Train,Lake Zurich,IL,1.0,3,13.0,0,0,0
3531,Train,Miami,FL,1.0,3,10.0,1,0,0
3572,Train,Hickory,NC,1.0,4,4.0,1,0,0
3671,Train,Princeton Junction,NJ,,8,12.0,1,0,0
3795,Train,Flint,MI,1.0,5,6.0,1,0,0
3832,Train,Mount Pleasant,MI,6.0,7,8.0,1,0,0
3859,Test,Arlington,TX,4.0,3,6.0,0,0,0
3885,Train,Carrollton,GA,4.0,4,4.0,1,0,0
3998,Train,Glendale,AZ,4.0,7,16.0,0,0,0
4043,Train,West Chester,PA,4.0,8,9.0,1,0,0
4089,Train,Jasper,GA,1.0,5,13.0,0,0,0
4109,Train,Palm Bay,FL,1.0,8,5.0,1,0,0
4130,Train,Hattiesburg,MS,1.0,3,11.0,1,0,0
4345,Train,Alexandria,LA,1.0,3,2.0,0,0,0
4457,Train,Downey,CA,1.0,6,8.0,1,0,0
4459,Train,Fenton,MO,4.0,4,26.0,0,0,0
4466,Train,Sterling Heights,MI,4.0,4,6.0,0,0,0
4529,Train,Los Angeles,CA,4.0,2,4.0,0,1,5
4611,Train,Wakefield,NE,4.0,5,12.0,0,1,8
4760,Train,Portage,IN,1.0,5,5.0,0,0,0
4818,Train,Downey,CA,1.0,3,12.0,0,1,15
4974,Train,Dallas,GA,4.0,3,6.0,1,0,0
5015,Train,Toledo,OH,1.0,6,9.0,1,0,0
5052,Train,Philadelphia,PA,4.0,7,8.0,1,1,11
5062,Train,West Chester,PA,4.0,10,18.0,1,0,0
5124,Train,Worcester,MA,3.0,1,6.0,0,0,0
5210,Train,Bradenton,FL,4.0,5,33.0,1,0,0
5231,Train,Bellevue,WA,,3,9.0,0,0,0
5255,Train,Cincinnati,OH,4.0,5,4.0,1,0,0
5330,Train,Wilton,IA,4.0,3,5.0,1,0,0
5380,Train,Springfield,OR,,4,5.0,1,0,0
5496,Train,Minneapolis,MN,5.0,5,3.0,0,0,0
5703,Train,Chattanooga,TN,1.0,5,13.0,1,0,0
5749,Train,Centennial,CO,3.0,6,6.0,0,0,0
5758,Train,Houston,TX,3.0,3,3.0,1,0,0
5887,Train,Cincinnati,OH,1.0,3,30.0,1,0,0
5916,Train,Monaca,PA,4.0,8,6.0,1,0,0
6051,Train,Baltimore,MD,1.0,2,5.0,1,0,0
6161,Train,Charlotte,NC,4.0,10,15.0,1,0,0
6184,Train,West Monroe,LA,1.0,4,9.0,0,0,0
6211,Train,Newtown,PA,2.0,1,7.0,0,1,10
6228,Train,Grand Rapids,MI,4.0,5,10.0,1,0,0
6378,Train,South Ozone Park,NY,2.0,5,20.0,1,0,0
6495,Train,Texas City,TX,1.0,2,4.0,0,0,0
6642,Train,Thomaston,CT,1.0,8,14.0,1,0,0
6660,Train,Chicago,IL,3.0,3,24.0,0,0,0
6680,Train,Indianapolis,IN,4.0,3,28.0,0,0,0
